staid;metnostaid;souid;cn;elev;lon;lat;etrs_laea_x;etrs_laea_y;utm33_x;utm33_y;date;value;qcode;prid;dqc;sct;rep
28;NA;100084;FI;4;24.94778;60.175;5145681;4206812;1050521;6712518;20200101;1.8;0;1;0;0.13;1.49269
29;NA;100088;FI;139;25.67833;62.40194;5127238;4457052;1050085;6964575;20200101;-1.7;0;1;0;0.18;1.49269
30;NA;100092;FI;179;26.63306;67.36583;5034028;5002706;997172;7518956;20200101;-9.7;0;1;0;0.43;2
55;NA;100202;DE;59;11.38833;53.64417;4412821;3393838;261290;5949995;20200101;5.2;0;1;0;0.34;1.49269
268;NA;100908;EE;82;27.01917;57.84583;5321953;3980532;1211197;6475066;20200101;4.1;0;1;0;0.2;1.49269
269;NA;100912;EE;6;21.81528;58.38306;5009645;3977430;898110;6491558;20200101;5.8;0;1;0;0.33;1.49269
469;NA;102187;DE;26;8.4125;55.0125;4219410;3546348;79057;6116044;20200101;6.7;0;1;0;1.29;1.49269
470;NA;102195;DE;43;9.54917;54.52889;4291804;3491505;147419;6056045;20200101;5.2;0;1;0;0.08;1.49269
471;NA;102203;DE;3;11.06167;54.52944;4389750;3491980;245196;6049567;20200101;6.2;0;1;0;0.02;1.49269
472;NA;102214;DE;4;12.08194;54.18167;4456938;3454729;309582;6007668;20200101;5.7;0;1;0;0.05;1.49269
473;NA;102222;DE;2;13.4075;54.09778;4543876;3448686;395861;5995573;20200101;5.4;0;1;0;0.12;1.49269
197;NA;109430;NO;323;6.22333;60.64583;4113875;4177221;21010;6755409;20200101;2.2;0;1;0;0.19;1.49269
329;NA;109739;NO;13;6.53917;62.85944;4144041;4421798;70295;6998236;20200101;5.9;0;1;0;0.88;1.49269
2692;NA;110790;NO;329;6.37556;61.42028;4126897;4262691;40662;6840044;20200101;1;0;1;0;0.62;1.49269
47;NA;111417;DE;11;9.99;53.635;4320338;3391938;168856;5954584;20200101;5.8;0;1;0;0.16;1.49269
