staid;metnostaid;souid;cn;elev;lon;lat;etrs_laea_x;etrs_laea_y;utm33_x;utm33_y;date;value;qcode;prid;dqc;sct;rep
28;NA;100086;FI;4;24.94778;60.175;5145681;4206812;1050521;6712518;20200101;0.1;0;1;0;0.17;1
29;NA;100090;FI;139;25.67833;62.40194;5127238;4457052;1050085;6964575;20200101;0;0;1;0;0.06;1
30;NA;100094;FI;179;26.63306;67.36583;5034028;5002706;997172;7518956;20200101;0;0;1;0;0;1
47;NA;100164;DE;11;9.99;53.635;4320338;3391938;168856;5954584;20200101;0;0;1;0;0;1
55;NA;100204;DE;59;11.38833;53.64417;4412821;3393838;261290;5949995;20200101;0;0;1;0;0;1
197;NA;100574;NO;323;6.22333;60.64583;4113875;4177221;21010;6755409;20200101;0.3;0;1;0;0.05;1
184;NA;100575;NO;8;11.38833;59.1225;4400670;4003185;293304;6559287;20200101;0;0;1;0;0;1
268;NA;100910;EE;82;27.01917;57.84583;5321953;3980532;1211197;6475066;20200101;1.5;0;1;15;0.18;1
269;NA;100914;EE;6;21.81528;58.38306;5009645;3977430;898110;6491558;20200101;0;0;1;0;0.57;1
469;NA;102185;DE;26;8.4125;55.0125;4219410;3546348;79057;6116044;20200101;0;0;1;0;0;1
470;NA;102193;DE;43;9.54917;54.52889;4291804;3491505;147419;6056045;20200101;0;0;1;0;0;1
471;NA;102201;DE;3;11.06167;54.52944;4389750;3491980;245196;6049567;20200101;0;0;1;0;0;1
472;NA;102212;DE;4;12.08194;54.18167;4456938;3454729;309582;6007668;20200101;0;0;1;0;0;1
473;NA;102220;DE;2;13.4075;54.09778;4543876;3448686;395861;5995573;20200101;0;0;1;0;0;1
2606;NA;109993;NO;550;10.27139;62.59667;4335004;4388312;257344;6949549;20200101;0;0;1;0;0.92;1
2637;NA;110276;NO;532;8.15194;59.32389;4215566;4026164;110711;6596163;20200101;0;0;1;0;0;1
2690;NA;110770;NO;40;6.80944;61.69417;4151578;4291949;67522;6867394;20200101;5.7;0;1;0;0.21;1
2692;NA;110788;NO;329;6.37556;61.42028;4126897;4262691;40662;6840044;20200101;13.1;0;1;0;0.43;1
2693;NA;110797;NO;340;6.65083;62.00306;4144901;4326593;63606;6902667;20200101;9.4;0;1;0;0.1;1
2728;NA;111120;NO;175;11.35528;63.4875;4388879;4487754;318544;7045074;20200101;23.7;0;1;0;0.26;1
3992;NA;120994;DE;54;13.99306;53.03306;4588738;3332315;432476;5876422;20200101;0;0;1;0;0;1
3994;NA;121018;DE;42;13.43667;54.68167;4542639;3513689;399210;6060491;20200101;0;0;1;0;0;1
3995;NA;121030;DE;27;10.14389;54.37556;4330353;3474359;184678;6036180;20200101;0;0;1;0;0;1
4000;NA;121090;DE;81;11.93333;53.32417;4449819;3359064;295768;5912718;20200101;0;0;1;0;0;1
4038;NA;121546;DE;18;9.36694;54.62944;4280103;3502783;136542;6068146;20200101;0;0;1;0;0;1
4048;NA;121666;DE;3;9.01139;54.07083;4256270;3440882;108339;6008002;20200101;0;0;1;0;0;1
4063;NA;121846;DE;18;9.31694;54.30083;4276522;3466245;130363;6031901;20200101;0;0;1;0;0;1
4072;NA;121954;DE;30;13.26306;53.68806;4536520;3402696;385300;5950217;20200101;0;0;1;0;0;1
4116;NA;122482;DE;2;9.24944;53.82917;4271573;3413802;121705;5979862;20200101;0;0;1;0;0;1
4147;NA;122854;DE;27;9.50806;54.84889;4289389;3527131;147552;6091805;20200101;0;0;1;0;0;1
4148;NA;122866;DE;1;9.43056;53.79833;4283473;3410262;133338;5975484;20200101;0;0;1;0;0;1
4149;NA;122878;DE;9;13.68556;53.84306;4563510;3421263;413517;5966861;20200101;0;0;1;0;0;1
4152;NA;122914;DE;58;12.10417;53.60694;4460274;3390838;308420;5943690;20200101;0;0;1;0;0;1
4157;NA;122974;DE;27;10.68056;53.57444;4366087;3385411;214062;5944855;20200101;0;0;1;0;0;1
4160;NA;123010;DE;12;13.9125;54.24556;4575968;3466781;429136;6011389;20200101;0;1;1;0;0;1
4164;NA;123058;DE;34;12.32556;54.07306;4473233;3443133;325018;5994958;20200101;0;0;1;0;0;1
4171;NA;123142;DE;56;13.93583;53.31667;4583178;3363626;429108;5908026;20200101;0;0;1;0;0;1
4182;NA;123274;DE;3;9.89833;53.47917;4314249;3374602;161558;5937699;20200101;0;0;1;0;0;1
4222;NA;123754;DE;1;13.10556;54.57667;4521813;3501047;377550;6049335;20200101;0;0;1;0;0;1
4236;NA;123922;DE;10;9.53917;54.31278;4291000;3467460;144906;6032084;20200101;0;0;1;0;0;1
4237;NA;123934;DE;10;10.67417;54.32056;4364879;3468434;218712;6027820;20200101;0;0;1;0;0;1
4261;NA;124222;DE;21;9.56944;53.98944;4292754;3431466;144104;5996008;20200101;0;0;1;0;0;1
4262;NA;124234;DE;21;9.52056;54.45667;4289897;3483480;144943;6048165;20200101;0;0;1;0;0;1
4283;NA;124486;DE;12;11.43583;54.00083;4415165;3433583;266422;5989495;20200101;0;0;1;0;0;1
4318;NA;124906;DE;40;12.41056;52.93806;4483043;3317070;325989;5868518;20200101;0;0;1;0;0;1
4319;NA;124918;DE;40;12.28306;53.91667;4471010;3425648;321570;5977670;20200101;0;0;1;0;0;1
4338;NA;125146;DE;7;8.94917;54.7925;4253385;3521241;111185;6088503;20200101;0;0;1;0;0;1
4349;NA;125278;DE;20;11.48778;53.1025;4420647;3333701;264893;5889439;20200101;0;0;1;0;0;1
4353;NA;125326;DE;3;12.71056;54.34056;4497290;3473760;351168;6023830;20200101;0;0;1;0;0;1
4372;NA;125554;DE;5;10.70667;53.81056;4367557;3411702;217378;5970997;20200101;0;0;1;0;0;1
4449;NA;126478;DE;77;13.04389;53.10306;4524816;3337015;369045;5885523;20200101;0;0;1;0;0;1
4511;NA;127222;DE;1;10.87833;54.09056;4378483;3442983;230486;6001454;20200101;0;0;1;0;0;1
4531;NA;127462;DE;40;13.47833;54.36556;4547048;3478676;401135;6025262;20200101;0;0;1;0;0;1
4537;NA;127534;DE;13;9.87833;53.73444;4312970;3403012;162279;5966161;20200101;0;0;1;0;0;1
4594;NA;128218;DE;5;8.60278;54.32944;4230085;3470097;84260;6039065;20200101;0;0;1;0;0;1
4637;NA;128734;DE;21;11.73056;52.89278;4437465;3310730;280076;5865350;20200101;0;0;1;0;0;1
4665;NA;129070;DE;1;9.60917;53.55278;4295094;3382858;143012;5947292;20200101;0;0;1;0;0;1
4668;NA;129106;DE;40;9.80444;54.66667;4308378;3506763;165051;6070103;20200101;0;0;1;0;0;1
4676;NA;129202;DE;38;12.55806;53.7625;4489685;3409105;339037;5959865;20200101;0;0;1;0;0;1
4694;NA;129418;DE;10;12.76889;54.06806;4502261;3443598;354002;5993396;20200101;0;0;1;0;0;1
4698;NA;129466;DE;69;13.30583;53.60194;4539785;3393250;387896;5940570;20200101;0;0;1;0;0;1
4705;NA;129550;DE;1;14.06944;53.74583;4589356;3411811;438632;5955645;20200101;0;0;1;0;0;1
4722;NA;129754;DE;39;10.23056;53.92139;4336150;3423833;186887;5985318;20200101;0;0;1;0;0;1
4734;NA;129898;DE;70;12.66917;53.52139;4498009;3382554;345480;5932801;20200101;0;0;1;0;0;1
4775;NA;130390;DE;25;11.42528;53.89444;4414709;3421732;265133;5977700;20200101;0;0;1;0;0;1
4779;NA;130438;DE;66;12.49639;53.1875;4487848;3345009;332725;5896055;20200101;0;0;1;0;0;1
4795;NA;130630;DE;8;8.52806;54.69417;4226066;3510773;83152;6080007;20200101;0;0;1;0;0;1
4796;NA;130642;DE;51;13.32806;52.96806;4544523;3322840;387717;5870025;20200101;0;0;1;0;0;1
4815;NA;130870;DE;45;10.68917;53.39306;4366851;3365232;213411;5924658;20200101;0;0;1;0;0;1
4818;NA;130906;DE;2;10.02444;54.64083;4322579;3503871;179018;6066203;20200101;0;0;1;0;0;1
4820;NA;130930;DE;15;11.19194;54.00417;4399166;3433664;250465;5990699;20200101;0;0;1;0;0;1
4828;NA;131026;DE;62;10.47167;53.21528;4352511;3345333;197705;5905795;20200101;0;0;1;0;0;1
4830;NA;131050;DE;14;9.80583;54.32083;4308362;3468277;162296;6031667;20200101;0;0;1;0;0;1
4831;NA;131062;DE;50;14.37417;53.38556;4611871;3372952;458375;5915344;20200101;0;0;1;0;0;1
4839;NA;131158;DE;26;10.35389;54.16667;4344119;3451161;196772;6012042;20200101;0;0;1;0;0;1
4847;NA;131254;DE;16;13.04306;54.25028;4519331;3464581;372502;6013136;20200101;0;0;1;0;0;1
4865;NA;131470;DE;1;13.82583;54.10639;4571159;3451011;423232;5995996;20200101;0;0;1;0;0;1
4901;NA;131902;DE;5;9.04389;54.52806;4259082;3491730;114765;6058608;20200101;0;0;1;0;0;1
4911;NA;132022;DE;115;13.4175;53.3175;4548678;3361969;394582;5908758;20200101;0;0;1;0;0;1
4920;NA;132130;DE;82;13.84194;52.74583;4580319;3299845;421828;5844626;20200101;0;0;1;0;0;1
4933;NA;132286;DE;17;9.92667;54.02056;4316193;3434847;167744;5997726;20200101;0;0;1;0;0;1
4939;NA;132358;DE;77;9.93667;53.35667;4316783;3360966;163131;5923904;20200101;0;0;1;0;0;1
4987;NA;132942;NO;125;10.62194;59.94;4355856;4093423;255479;6652821;20200101;0;1;1;0;0;1
5048;NA;133674;NO;39;7.70417;63.12528;4204614;4448830;132621;7020451;20200101;5.9;0;1;0;0.3;1
5101;NA;134310;NO;280;6.01333;58.755;4089950;3968018;-18977;6547679;20200101;1.7;0;1;0;0.03;1
5125;NA;134598;NO;3;5.29889;61.77056;4072086;4304899;-10576;6886836;20200101;9.8;0;1;0;0.07;1
5876;NA;137490;SE;5;13.43;55.36;4538542;3589078;400475;6135975;20200101;0.4;0;1;0;0.52;1
5877;NA;137492;SE;5;13.13;55.38;4519431;3590435;381519;6138670;20200101;0;0;1;0;0.1;1
5164;NA;137496;SE;5;12.82;55.38;4499790;3589624;361881;6139242;20200101;0;0;1;0;0;1
5168;NA;137502;SE;20;13.83;55.44;4563400;3599246;425980;6144378;20200101;0;0;1;0;0.09;1
5169;NA;137510;SE;4;14.32;55.49;4594030;3606556;457033;6149530;20200101;0;0;1;0;0;1
5170;NA;137512;SE;55;14.05;55.49;4576987;3605564;439974;6149730;20200101;0;0;1;0;0.01;1
5885;NA;137528;SE;67;13.95;55.55;4570298;3611880;433756;6156498;20200101;0;0;1;0;0.02;1
5886;NA;137530;SE;70;14.19;55.56;4585360;3613848;448910;6157408;20200101;0;0;1;0;0;1
3509;NA;137534;SE;20;13.07306;55.57139;4514892;3611559;378502;6160063;20200101;0;0;1;0;0;1
5175;NA;137536;SE;20;13.08;55.61;4515141;3615871;379059;6164347;20200101;0;0;1;0;0;1
5892;NA;137550;SE;40;13.68;55.64;4552751;3620980;416914;6166804;20200101;0.2;0;1;0;0.02;1
5893;NA;137552;SE;80;13.89;55.64;4565961;3621676;430131;6166572;20200101;0.1;0;1;0;0.05;1
5896;NA;137560;SE;25;13.53;55.66;4543201;3622730;407520;6169219;20200101;0.2;0;1;0;0.04;1
463;NA;137568;SE;73;13.2;55.7;4522243;3626206;386877;6174159;20200101;0;0;1;0;0.02;1
5901;NA;137576;SE;50;14.1;55.72;4578648;3631298;443465;6175284;20200101;0;0;1;0;0.02;1
5184;NA;137588;SE;114;13.67;55.86;4550840;3645399;416754;6191298;20200101;0;0;1;0;0.03;1
5907;NA;137592;SE;9;12.84;55.88;4498805;3645271;364880;6194833;20200101;0;0;1;0;0;1
5188;NA;137596;SE;85;13.4;55.9;4533730;3649014;399959;6196107;20200101;0;0;1;0;0;1
5910;NA;137606;SE;5;14.28;55.92;4588585;3654176;455003;6197410;20200101;0;0;1;0;0;1
5911;NA;137610;SE;165;13.85;55.93;4561672;3653767;428149;6198886;20200101;0;0;1;0;0;1
5193;NA;137620;SE;10;14.15;56.33;4577757;3699249;447441;6243133;20200101;0;0;1;0;0;1
5194;NA;137628;SE;55;14.85;56.01;4623468;3666431;490647;6207203;20200101;0;0;1;0;0;1
5917;NA;137630;SE;152;13.23;56.01;4522536;3660752;389644;6208606;20200101;0;0;1;0;0;1
5919;NA;137634;SE;30;12.74;56.03;4491894;3661707;359172;6211722;20200101;0;0;1;0;0;1
5196;NA;137636;SE;43;12.77;56.03;4493764;3661779;361041;6211662;20200101;0;0;1;0;0;1
5924;NA;137652;SE;5;14.47;56.08;4599308;3672670;467014;6215110;20200101;0;0;1;0;0;1
5929;NA;137664;SE;15;14.02;56.1;4571199;3673237;439039;6217642;20200101;0;0;1;0;0;1
5932;NA;137670;SE;55;13.25;56.14;4523110;3675260;391258;6223041;20200101;0;0;1;0;0;1
5203;NA;137680;SE;2;15.59;56.15;4668270;3685317;536654;6222931;20200101;0;0;1;0;0;1
1421;NA;137686;SE;50;14.85;56.18;4622155;3685308;490688;6226124;20200101;0;0;1;0;0;1
5205;NA;137694;SE;2;16.39972;56.2;4717918;3695058;586843;6229221;20200101;0;0;1;0;0;1
5943;NA;137702;SE;13;12.78;56.2;4493635;3680705;362272;6230557;20200101;0;0;1;0;0;1
5944;NA;137704;SE;25;15.71;56.21;4675161;3692561;544040;6229679;20200101;0;0;1;0;0;1
5207;NA;137710;SE;20;12.98;56.23;4505904;3684538;374776;6233514;20200101;0;0;1;0;0;1
5948;NA;137716;SE;12;12.58;56.24;4481057;3684689;350024;6235425;20200101;0;0;1;0;0;1
5208;NA;137718;SE;13;12.54;56.25;4478536;3685713;347585;6236626;20200101;0;0;1;0;0;1
1419;NA;137724;SE;58;15.27;56.26;4647509;3696024;516726;6235050;20200101;0;0;1;0;0;1
5951;NA;137726;SE;10;16.02;56.28;4693666;3701894;563153;6237711;20200101;0;0;1;0;0;1
5952;NA;137728;SE;65;14.52;56.28;4600976;3695078;470280;6237347;20200101;0;0;1;0;0;1
5953;NA;137730;SE;75;13.3;56.28;4525480;3690963;394748;6238542;20200101;0;0;1;0;0;1
5954;NA;137734;SE;76;13.75;56.29;4553277;3693443;422627;6239059;20200101;0;0;1;0;0;1
5957;NA;137742;SE;100;15.58;56.33;4666049;3705242;535864;6242960;20200101;0;0;1;0;0;1
5211;NA;137750;SE;90;13.98;56.38;4566934;3704209;437012;6248841;20200101;0;0;1;0;0;1
5961;NA;137754;SE;5;16.54;56.37;4724817;3714686;595122;6248325;20200101;0;0;1;0;0;1
5963;NA;137758;SE;200;12.98;56.38;4505190;3701214;375266;6250205;20200101;0;0;1;0;0;1
5966;NA;137764;SE;135;14.36;56.42;4590105;3710016;460519;6253010;20200101;0;0;1;0;0;1
5967;NA;137766;SE;20;16.42;56.43;4716816;3720668;587573;6254843;20200101;0;0;1;0;0;1
5970;NA;137772;SE;109;15.36;56.45;4651448;3717523;522191;6256223;20200101;0;1;1;0;0;1
5214;NA;137774;SE;10;12.55;56.45;4478341;3707974;348997;6258857;20200101;0;0;1;0;0;1
5971;NA;137776;SE;40;12.7;56.45;4487592;3708313;358240;6258537;20200101;0;0;1;0;0;1
5217;NA;137782;SE;110;13.66;56.46;4546714;3712047;417425;6258083;20200101;0;0;1;0;0;1
5973;NA;137788;SE;10;12.99;56.49;4505282;3713468;376241;6262428;20200101;0;0;1;0;0;1
5220;NA;137798;SE;35;13.34;56.52;4526676;3717754;397869;6265191;20200101;0;0;1;0;0;1
5221;NA;137800;SE;5;16.39;56.53;4713951;3731589;585498;6265935;20200101;0;0;1;0;0;1
5222;NA;137802;SE;176;14.9;56.54;4622437;3725488;493850;6266187;20200101;0;0;1;0;0;1
5225;NA;137812;SE;130;15.51;56.6;4659353;3734868;531313;6272978;20200101;0;0;1;0;0;1
5980;NA;137816;SE;130;15.14;56.62;4636515;3735401;508591;6275096;20200101;0;0;1;0;0;1
5982;NA;137822;SE;140;14.03;56.64;4568345;3733267;440508;6277734;20200101;0;0;1;0;0;1
5983;NA;137824;SE;3;16.67;56.63;4730046;3744239;602448;6277447;20200101;0;0;1;0;0;1
5986;NA;137832;SE;2;16.35;56.69;4709874;3749109;582687;6283693;20200101;0;0;1;0;0;1
5230;NA;137836;SE;24;12.92;56.67;4500129;3733302;372539;6282586;20200101;0;0;1;0;0;1
5987;NA;137842;SE;155;14.34;56.68;4587067;3738820;459563;6281961;20200101;0;0;1;0;0;1
5988;NA;137848;SE;50;13.03;56.7;4506727;3736916;379375;6285726;20200101;0;0;1;0;0;1
5238;NA;137862;SE;162;15.27;56.76;4643297;3751517;516507;6290703;20200101;0;0;1;0;0;1
5240;NA;137876;SE;155;13.95;56.83;4562238;3754103;435926;6298954;20200101;0;0;1;0;0;1
5999;NA;137880;SE;170;15.75;56.83;4671937;3761538;545768;6298713;20200101;0;0;1;0;0;1
5241;NA;137882;SE;25;16.75;56.84;4732666;3767967;606758;6300941;20200101;0;0;1;0;0;1
