lon;lat;elev;value;prid;dqc;sct;rep;fg;fge_mean;fge_sd
6.1498;59.23;43;0.4;2;0;0.13;1;0.3;0.1;0.1719
9.9155;59.7688;7;0.4;2;0;0.12;1;0.5;0;0.1078
10.2142;59.731;14;0.1;2;0;1.14;1;0.2;0;0.1
10.4047;59.6027;4;0.4;2;5;58.06;NA;0.4;0;0.1
5.9538;59.6625;8;2.6;2;0;0.38;1;2.4;0.8;0.9376
10.2662;60.1403;126;0;2;0;0;1;0;0;0.1
6.5285;61.2028;15;0.4;2;0;0.91;1;NA;1.3;1.4541
20.1387;69.8915;45;0;2;0;0.66;1;0;0;0.1
13.1848;66.3892;115;0;2;0;0;1;0;0;0.1
11.0422;59.3193;45;0;2;0;0;1;0;0;0.1
22.0705;70.2368;27;0;2;0;0.01;1;NA;0;0.1
7.2436;62.9087;80;0;2;0;0.07;1;0;0;0.1
6.5742;60.1173;147;0.5;2;0;0.33;1;NA;0.4;0.4325
10.2397;59.3808;39;0;2;0;0;1;0;0;0.1
7.0452;58.134;6;0;2;8;NA;NA;0.8;0.9;2.4153
9.9728;59.9202;64;0;2;0;0.13;1;0;0.1;0.2596
9.4798;61.8883;940;1.4;2;0;0.76;1;NA;0.2;0.2639
7.2088;62.756;258;0;2;0;0;1;0;0;0.1
7.2275;62.7413;5;0;2;0;0.01;1;0;0;0.1
10.2312;59.7445;4;0.1;2;5;7.17;NA;0.1;0;0.1
18.9365;69.65361;100;0;2;0;0.02;1;0;0;0.1
18.6773;69.414;124;0;2;0;0.02;1;0;0;0.1
6.4013;62.4654;33;0;2;0;0;1;0;0;0.1
17.4212;68.4372;31;0;2;0;0;1;NA;0;0.1
10.0258;59.7328;166;0.2;2;5;7.77;NA;NA;0;0.1093
9.5413;61.7782;309;2;2;5;8.44;NA;1.1;0.1;0.1961
11.23;60.394;160;0;2;0;0.52;1;0;0;0.1
15.8768;68.5172;6;0;2;0;0.83;1;0;0;0.1
19.0065;69.6508;3;0;2;0;0;1;0;0;0.1
5.2115;62.1467;75;0;2;0;0.12;1;0;0;0.1
10.125;59.0467;19;0;2;0;0;1;0;0;0.1
9.3995;59.8685;183;0;2;0;0.43;1;0;0;0.1
6.6467;59.0552;5;0;2;0;0.04;1;0;0.1;0.1063
11.558;60.3883;147;0;2;0;0.12;1;0;0;0.1
11.4255;63.9425;59;0;2;0;0.01;1;0;0;0.1
6.5395;60.0447;89;0.2;2;0;0.6;1;NA;0.8;0.7491
15.8282;67.3335;665;0;2;0;0.71;1;0;0;0.1
10.4312;59.2782;3;0;2;0;0;1;0;0;0.1
10.4428;63.4429;13;0;2;0;0;1;0;0;0.1
10.46;59.3563;61;0;2;0;0.01;1;0;0;0.1
10.4647;59.4198;95;0;2;0;0;1;0;0;0.1
10.3985;59.3845;40;0;2;0;0;1;0;0;0.1
21.69828;60.11163;2;0;7;0;0.08;0.5;NA;0;0.1
27.67274;60.5272;6;0;7;0;3.34;0.5;NA;0.1;0.14
24.17369;65.84733;12;0;7;0;0;0.5;NA;0;0.1
23.11292;60.37392;13;0;7;0;0;0.5;NA;0;0.1
24.24301;67.98721;339;0;7;0;0.1;0.5;NA;0;0.1
29.7238;62.60155;69;0;7;0;0;0.5;NA;0;0.1
20.79115;69.04948;504;0;7;0;0.15;0.5;NA;0;0.1
24.16323;63.82133;95;0;7;0;0.04;0.5;NA;0;0.1
27.90785;62.32221;77;0.1;7;0;0.17;0.5;NA;0.1;0.2037
24.78732;60.17802;13;0;7;0;0;0.5;NA;0;0.1
28.29911;68.84928;126;0;7;0;0.45;0.5;NA;0;0.1
25.78316;68.16961;273;0;7;0;0.45;0.5;NA;0;0.1
27.18501;68.08422;260;0;7;0;0.01;0.5;NA;0;0.1
25.62025;60.97467;96;0;7;0;0;0.5;NA;0.1;0.1
22.1787;60.45439;8;0;7;0;0.01;0.5;NA;0;0.1
28.66166;63.37806;155;0;7;0;0.23;0.5;NA;0;0.1
26.42386;64.50144;119;0;7;0;0.03;0.5;NA;0;0.1
29.31506;61.80186;70;0.7;7;0;3.92;0.5;NA;0.1;0.1
27.41326;68.41506;306;0;7;0;0.7;0.5;NA;0;0.1
22.48878;62.93808;42;0;7;0;0.02;0.5;NA;0;0.1
28.05673;64.66404;353;0;7;0;0.93;0.5;NA;0;0.1
27.00678;69.75637;86;0;7;0;1.9;0.5;NA;0;0.1
19.98686;60.17824;7;0;7;0;1.22;0.5;NA;0;0.1
24.32449;61.11454;86;0;7;0;1.52;0.5;NA;0.2;0.3483
30.17061;64.2976;191;0;7;0;0.45;0.5;NA;0;0.1
25.08919;64.68421;49;0;7;0;0.18;0.5;NA;0;0.1
28.33639;64.11197;149;0;7;0;0.09;0.5;NA;0;0.1
21.7832;61.47893;17;0;7;0;0;0.5;NA;0;0.1
23.24839;59.84383;4;0;7;0;0.15;0.5;NA;0;0.1
22.55183;60.3869;13;0;7;0;0;0.5;NA;0;0.1
24.72758;65.01967;11;0;7;0;2.81;0.5;NA;0;0.1
27.75194;64.21678;154;0;7;0;0;0.5;NA;0;0.1
30.04578;63.32108;97;0;7;0;1.1;0.5;NA;0;0.1
24.28696;61.84591;160;0;7;0;0.62;0.5;NA;0;0.1
23.68449;67.95829;242;0;7;0;0.04;0.5;NA;0;0.1
25.37299;64.937;8;0;7;0;0.02;0.5;NA;0;0.1
24.04951;60.24446;66;0;7;0;0.41;0.5;NA;0;0.1
26.09478;61.87942;142;0.4;7;0;0;0.5;NA;0.2;0.1944
21.37479;59.77909;6;0;7;0;2.5;0.5;NA;0;0.1
25.70573;63.73589;151;0;7;0;0.03;0.5;NA;0;0.1
29.17766;67.16226;228;0;7;0;0.1;0.5;NA;0;0.1
23.96303;66.77278;64;0;7;0;0.08;0.5;NA;0;0.1
25.6073;60.39172;27;0;7;0;0;0.5;NA;0;0.1
25.19309;60.62785;74;0;7;0;0;0.5;NA;0;0.1
21.19081;62.33382;5;0;7;0;0.34;0.5;NA;0;0.1
23.49761;60.81401;111;0;7;0;0.02;0.5;NA;0;0.1
28.18491;61.52242;84;0;7;0;0.14;0.5;NA;0.4;0.2668
27.63331;62.89256;85;0;7;0;0;0.5;NA;0;0.1
23.64976;60.46415;123;0;7;0;0.14;0.5;NA;0;0.1
24.90162;67.6521;175;0;7;0;0.45;0.5;NA;0;0.1
28.21766;65.57489;204;0;7;0;0.45;0.5;NA;0;0.1
31.04438;63.14167;223;0;7;0;0.99;0.5;NA;0.2;0.3596
24.14239;62.55461;164;0;7;0;1.02;0.5;NA;0;0.1
22.79972;62.18325;165;0;7;0;1.54;0.5;NA;0;0.1
24.20955;67.99746;273;0;7;0;0.02;0.5;NA;0;0.1
28.82927;63.6673;109;0;7;0;0.12;0.5;NA;0;0.1
26.95893;60.37538;2;0;7;0;1.62;0.5;NA;0.1;0.1
28.74672;64.93125;221;0;7;0;0;0.5;NA;0;0.1
22.46368;61.83864;121;0;7;0;0.04;0.5;NA;0;0.1
26.62901;67.36663;187;0;7;0;0.45;0.5;NA;0;0.1
