lon;lat;z;prid;stid;wmoid;qcode;value
17.662;68.432;200;1;-9999;-9999;-9999;12.6208333333333
16.5362;68.8029;45;1;-9999;-9999;-9999;12.025
18.1288;69.2897;982;1;-9999;-9999;-9999;8.91666666666667
18.5437;69.0577;76;1;-9999;-9999;-9999;14.1125
20.094;69.5588;710;1;-9999;-9999;-9999;10.9166666666667
9.9947;62.1282;694;1;-9999;-9999;-9999;6.98333333333333
20.9553;69.7887;6;1;-9999;-9999;-9999;13.3041666666667
23.5345;69.5797;381;1;-9999;-9999;-9999;14.3791666666667
23.9817;71.0937;13;1;-9999;-9999;-9999;10.4333333333333
25.9782;71.0105;14;1;-9999;-9999;-9999;11.8416666666667
30.07;70.7057;9;1;-9999;-9999;-9999;13.9125
10.1872;61.4582;200;1;-9999;-9999;-9999;12.5458333333333
10.578;59.4352;14;1;-9999;-9999;-9999;15.1375
9.224;60.9785;358;1;-9999;-9999;-9999;13.9625
8.1948;60.53;772;1;-9999;-9999;-9999;10.5625
9.2128;59.3822;93;1;-9999;-9999;-9999;15.0375
7.3653;59.7662;821;1;-9999;-9999;-9999;10.6916666666667
7.2143;59.8118;990;1;-9999;-9999;-9999;9.69583333333333
8.0767;58.2;12;1;-9999;-9999;-9999;15.3916666666667
6.9097;58.923;560;1;-9999;-9999;-9999;11.875
6.733;59.8315;1010;1;-9999;-9999;-9999;9.39583333333333
7.2798;60.4085;735;1;-9999;-9999;-9999;10.3583333333333
5.2265;60.2892;48;1;-9999;-9999;-9999;14.1625
7.5025;61.1033;2;1;-9999;-9999;-9999;14.6083333333333
6.7642;61.4233;3;1;-9999;-9999;-9999;11.7083333333333
12.0067;60.1903;148;1;-9999;-9999;-9999;13.6625
4.6817;61.5717;26;1;-9999;-9999;-9999;13.8791666666667
4.986;62.034;75;1;-9999;-9999;-9999;12.4583333333333
6.7552;62.6512;43;1;-9999;-9999;-9999;11.925
9.0878;63.0493;410;1;-9999;-9999;-9999;8.07083333333333
10.6932;63.5652;32;1;-9999;-9999;-9999;10.8125
9.4052;64.1727;16;1;-9999;-9999;-9999;11.4625
11.9927;65.22;302;1;-9999;-9999;-9999;8.80416666666667
12.2182;65.4567;9;1;-9999;-9999;-9999;11.675
11.8562;65.7017;4;1;-9999;-9999;-9999;11.2375
1.8522;61.2553;118;1;-9999;-9999;-9999;13.8625
7.77915;64.352;55;1;-9999;-9999;-9999;11.6333333333333
11.3747;61.1847;255;1;-9999;-9999;-9999;11.2208333333333
15.3155;66.9368;39;1;-9999;-9999;-9999;12.0958333333333
15.4857;67.1658;7;1;-9999;-9999;-9999;11.85
13.8958;67.4048;24;1;-9999;-9999;-9999;12.2083333333333
16.6833;68.4912;26;1;-9999;-9999;-9999;13.1416666666667
12.7228;67.6527;4;1;-9999;-9999;-9999;11.3125
15.0293;68.58;3;1;-9999;-9999;-9999;12.5708333333333
16.003;69.2413;436;1;-9999;-9999;-9999;9.60416666666667
17.8312;69.6005;33;1;-9999;-9999;-9999;10.875
19.7017;68.7817;204;1;-9999;-9999;-9999;12.475
9.5423;62.2207;1012;1;-9999;-9999;-9999;6.08333333333333
23.3582;69.9775;3;1;-9999;-9999;-9999;14.675
23.5387;68.7553;382;1;-9999;-9999;-9999;14.25
24.99;70.06;5;1;-9999;-9999;-9999;14.1541666666667
27.8298;71.033;13;1;-9999;-9999;-9999;12.9041666666667
28.217;71.0888;8;1;-9999;-9999;-9999;11.2083333333333
25.346;69.3003;591;1;-9999;-9999;-9999;13.5958333333333
29.0348;70.8708;13;1;-9999;-9999;-9999;12.4541666666667
31.044;70.3545;12;1;-9999;-9999;-9999;13.125
11.8153;62.6793;747;1;-9999;-9999;-9999;5.45416666666667
10.8695;60.7002;264;1;-9999;-9999;-9999;13.2875
10.1082;61.6513;930;1;-9999;-9999;-9999;8.125
7.6637;62.0162;872;1;-9999;-9999;-9999;6.5875
12.2718;61.2943;360;1;-9999;-9999;-9999;9.47083333333333
10.6693;59.9847;514;1;-9999;-9999;-9999;12.3333333333333
10.0358;60.9345;542;1;-9999;-9999;-9999;10.9625
9.605;60.383;142;1;-9999;-9999;-9999;15.8583333333333
8.593;60.8548;604;1;-9999;-9999;-9999;11.7583333333333
10.2553;59.1845;88;1;-9999;-9999;-9999;13.5166666666667
10.5242;59.0272;6;1;-9999;-9999;-9999;15.6416666666667
8.5225;58.34;6;1;-9999;-9999;-9999;15.0083333333333
8.0532;58.0732;9;1;-9999;-9999;-9999;15.3291666666667
11.0383;59.9708;108;1;-9999;-9999;-9999;15.7875
6.5675;58.109;14;1;-9999;-9999;-9999;14.9583333333333
5.8718;58.4353;49;1;-9999;-9999;-9999;14.5041666666667
10.829;60.1173;170;1;-9999;-9999;-9999;13.1166666666667
6.1212;59.0512;300;1;-9999;-9999;-9999;13.4
6.3499;59.6479;5;1;-9999;-9999;-9999;15.4958333333333
5.3407;59.7933;49;1;-9999;-9999;-9999;15.3791666666667
6.1105;60.647;17;1;-9999;-9999;-9999;13.5583333333333
5.9733;60.8562;125;1;-9999;-9999;-9999;12.5208333333333
5.3813;61.0272;38;1;-9999;-9999;-9999;13.6291666666667
7.2755;60.6563;1162;1;-9999;-9999;-9999;6.9
7.7703;62.4555;1294;1;-9999;-9999;-9999;3.46666666666667
8.5473;62.6785;6;1;-9999;-9999;-9999;11.3083333333333
8.7753;62.722;405;1;-9999;-9999;-9999;7.95833333333333
7.9533;63.5185;5;1;-9999;-9999;-9999;12.45
9.1125;63.5187;13;1;-9999;-9999;-9999;10.7833333333333
9.8495;63.3153;4;1;-9999;-9999;-9999;10.6791666666667
10.4538;63.4107;127;1;-9999;-9999;-9999;9.63333333333333
10.8795;63.4882;27;1;-9999;-9999;-9999;10.7041666666667
11.7277;63.4115;169;1;-9999;-9999;-9999;9.20833333333333
11.5705;64.4708;2;1;-9999;-9999;-9999;10.9958333333333
10.9965;65.2023;23;1;-9999;-9999;-9999;11.175
13.3667;65.1662;319;1;-9999;-9999;-9999;10.1333333333333
14.954;66.4993;251;1;-9999;-9999;-9999;11.5375
12.611;66.3705;10;1;-9999;-9999;-9999;11.75
12.486;66.7628;17;1;-9999;-9999;-9999;11.6208333333333
14.6485;68.1535;14;1;-9999;-9999;-9999;13.0125
22.4428;70.607;438;1;-9999;-9999;-9999;13.625
23.6772;70.6807;81;1;-9999;-9999;-9999;15.7166666666667
10.732;62.2695;482;1;-9999;-9999;-9999;7.84583333333333
29.8977;69.7255;89;1;-9999;-9999;-9999;17.1
11.0697;60.818;221;1;-9999;-9999;-9999;13.3958333333333
10.8055;60.7733;128;1;-9999;-9999;-9999;13.4166666666667
10.1277;61.4648;1030;1;-9999;-9999;-9999;7.11666666666667
10.8288;59.1513;10;1;-9999;-9999;-9999;15.3625
